id,age,income,purchases,recency,target
1,34,45000,3,12,0
2,28,52000,5,5,1
3,45,78000,8,3,1
4,22,28000,1,45,0
5,38,65000,6,7,1
6,55,82000,9,2,1
7,29,38000,2,30,0
8,42,71000,7,4,1
9,33,48000,4,15,0
10,27,35000,2,40,0
11,48,79000,8,3,1
12,31,42000,3,18,0
13,39,68000,6,8,1
14,24,31000,1,50,0
15,52,88000,10,2,1
16,36,58000,5,10,1
17,30,41000,2,25,0
18,46,75000,7,5,1
19,26,33000,1,42,0
20,41,69000,6,7,1
21,37,60000,4,12,0
22,50,84000,9,3,1
23,32,46000,3,20,0
24,44,73000,7,5,1
25,28,39000,2,35,0
26,53,86000,9,2,1
27,35,55000,4,15,0
28,40,67000,5,10,1
29,25,32000,1,48,0
30,49,80000,8,4,1
31,34,49000,3,18,0
32,47,76000,7,5,1
33,29,40000,2,30,0
34,56,90000,10,1,1
35,33,51000,3,16,0
36,43,72000,6,7,1
37,27,37000,1,40,0
38,51,83000,9,3,1
39,38,63000,5,11,1
40,32,47000,3,22,0
